RealData,Predicted
5950.465224613878,7159.2686
6418.823239223867,6806.0293
5762.283861380218,6603.3804
5905.003902024955,6350.6113
6036.838236142152,6167.323
5923.761799513208,6106.0913
5815.074261147861,6108.8027
5934.390719846197,6080.2695
6010.7522761223745,6060.127
6450.796178181185,6035.857
6098.079231080321,6162.7646
6269.398131406318,6244.132
5845.3273813323485,6283.391
6259.507448117275,6176.965
6038.186087396239,6099.6123
6357.598875221648,6026.138
6661.695006082148,6035.6387
6730.223132491837,6186.334
6678.4573657868605,6406.2256
7029.621352757534,6557.1084
7337.86864801403,6703.902
7239.144187671278,6899.943
7117.727530730281,7039.825
7142.235964666178,7038.9365
7445.235980457214,6962.4844
7599.948467238935,6974.263
7508.122211023213,7103.7217
7680.082756628595,7232.6123
6395.927446293385,7398.3403
6061.598567150241,7111.459
5905.744773591747,6612.187
5557.833257138097,6155.127
5708.488738495956,5798.4663
5899.323921277366,5627.4717
5893.099824246805,5684.6753
6001.091724591737,5863.182
6347.021306587323,6118.6826
6372.706790798007,6442.4775
6487.9457907325805,6714.181
6478.162403824919,6883.009
5887.70758969669,6911.3726
6114.107660109308,6629.8916
6298.215319220097,6303.1
6680.43355139525,6104.42
7626.319247051979,6151.247
7538.219466222689,6659.5244
7516.023384073795,7253.008
7092.7075820188775,7567.1895
6553.927795324225,7419.462
6672.89441574523,6943.4033
7533.135874704812,6496.0874
7322.4169927779,6489.0537
7160.998874093884,6694.3706
7212.93356478632,6896.5396
7071.414282749487,7026.4775
6755.453981339424,7029.408
6581.4047246325745,6870.602
6929.23792842224,6636.204
7134.137281657499,6542.157
6945.060035993581,6674.032
6976.544710495736,6818.5923
7180.4822798341775,6925.6353
7066.699752641074,7020.1533
6828.743878230486,7085.346
5187.101015072842,7040.405
5426.714308827979,6546.4204
5560.493990951519,6011.594
5663.168523973877,5648.435
7102.717315199238,5502.334
7004.756823730678,5895.254
7010.142022262817,6662.66
6666.175156765102,7374.577
6614.687183839996,7583.343
6754.8109395568445,7404.3057
6902.882206971231,7148.341
6821.124735636229,6978.9824
6801.106916776998,6890.3936
6917.725432429864,6712.903
6836.746255885519,6725.621
6797.568658804803,6737.082
6902.282149234597,6722.803
6847.849652376509,6697.6353
5336.5274105249155,6731.358
5299.503472784552,6392.746
5594.108377658097,5900.487
5948.490523140459,5543.8633
6102.855238118133,5503.5723
5957.392161812783,5732.552
6832.049429631596,6012.9263
6529.032557697529,6444.6025
6919.017683501678,6734.576
7377.660773299343,6974.2173
6532.711592212135,7248.112
5888.678615802377,7197.03
6104.456907596132,6791.814
6263.858759428999,6334.419
5949.804337191294,6042.614
5618.620840917743,5918.8438
1261.156346319629,6247.041
1900.0642265372471,5795.883
2416.064153343352,5120.0347
2955.9078019955805,4534.295
3582.6249330752435,4159.838
1588.7164490372215,4518.091
1776.8259344992857,4827.8013
2896.3662612243897,4703.704
2899.226355646142,4566.4844
3410.5787226889843,4449.9844
3037.7130216991295,4525.0947
3677.5117330915036,4575.1104
3682.9080042424353,4676.401
4018.2056172044954,4765.526
4791.227316880675,4822.2427
4943.174753199259,4990.5874
4715.028979416546,5276.4917
5068.258532439684,5481.2085
5102.522588140841,5613.8774
4888.745841455813,5685.1855
5085.0808277421,5640.8584
4950.467987153279,5570.616
4791.552787784107,5492.586
4847.363288123501,5393.102
5003.245626203705,5302.2964
5234.3532853954,5263.415
5191.74828577474,5325.1973
5211.689078369303,5437.5547
5375.949302484268,5539.525
5273.426825846615,5640.973
5284.372141196174,5697.7456
5357.342460368707,5704.304
5449.3218517844425,5691.6235
5794.128902942329,5685.7256
6007.782260234399,5764.508
6071.743422575366,5941.239
6518.266207108765,6138.7026
6308.553634025412,6399.0493
6500.866461129196,6565.356
6498.108827136182,6646.388
6619.336327034015,6650.84
6376.580624417917,6642.6914
6431.379778863509,6564.849
6220.180129742121,6473.9697
